Exposure started time stamp,Exposure ended time stamp,Wavelength,Intensity
3849.4,5003849.4,618.59924193577854,149
3849.4,5003849.4,619.02421676949859,151
3849.4,5003849.4,619.449181356457,168
3849.4,5003849.4,619.87413569101284,138
3849.4,5003849.4,620.29907976752531,172
3849.4,5003849.4,620.72401358035347,156
3849.4,5003849.4,621.14893712385731,155
3849.4,5003849.4,621.57385039239773,153
3849.4,5003849.4,621.99875338033507,175
3849.4,5003849.4,622.42364608203093,164
3849.4,5003849.4,622.84852849184722,162
3849.4,5003849.4,623.27340060414588,178
3849.4,5003849.4,623.69826241329,168
3849.4,5003849.4,624.123113913642,179
3849.4,5003849.4,624.54795509956625,186
3849.4,5003849.4,624.97278596542674,180
3849.4,5003849.4,625.39760650558776,185
3849.4,5003849.4,625.82241671441477,173
3849.4,5003849.4,626.24721658627277,181
3849.4,5003849.4,626.67200611552846,186
3849.4,5003849.4,627.09678529654707,200
3849.4,5003849.4,627.52155412369632,218
3849.4,5003849.4,627.94631259134314,227
3849.4,5003849.4,628.37106069385607,231
3849.4,5003849.4,628.79579842560247,229
3849.4,5003849.4,629.22052578095133,210
3849.4,5003849.4,629.64524275427209,231
3849.4,5003849.4,630.06994933993462,216
3849.4,5003849.4,630.49464553230871,246
3849.4,5003849.4,630.91933132576446,216
3849.4,5003849.4,631.3440067146737,216
3849.4,5003849.4,631.7686716934079,211
3849.4,5003849.4,632.19332625633876,242
3849.4,5003849.4,632.61797039783892,235
3849.4,5003849.4,633.04260411228131,217
3849.4,5003849.4,633.46722739403936,231
3849.4,5003849.4,633.89184023748646,230
3849.4,5003849.4,634.31644263699741,200
3849.4,5003849.4,634.74103458694753,200
3849.4,5003849.4,635.16561608171094,206
3849.4,5003849.4,635.59018711566478,197
3849.4,5003849.4,636.01474768318383,209
3849.4,5003849.4,636.43929777864594,194
3849.4,5003849.4,636.86383739642793,196
3849.4,5003849.4,637.28836653090707,193
3849.4,5003849.4,637.71288517646133,210
3849.4,5003849.4,638.13739332747036,196
3849.4,5003849.4,638.56189097831236,174
3849.4,5003849.4,638.98637812336733,203
3849.4,5003849.4,639.4108547570147,175
3849.4,5003849.4,639.83532087363551,183
3849.4,5003849.4,640.25977646761032,191
3849.4,5003849.4,640.68422153332119,186
3849.4,5003849.4,641.10865606514949,160
3849.4,5003849.4,641.53308005747738,180
3849.4,5003849.4,641.95749350468827,186
3849.4,5003849.4,642.38189640116525,191
3849.4,5003849.4,642.80628874129218,202
3849.4,5003849.4,643.2306705194535,169
3849.4,5003849.4,643.65504173003387,187
3849.4,5003849.4,644.07940236741865,181
3849.4,5003849.4,644.50375242599341,169
3849.4,5003849.4,644.928091900144,168
3849.4,5003849.4,645.352420784258,197
3849.4,5003849.4,645.77673907272208,185
3849.4,5003849.4,646.20104675992366,157
3849.4,5003849.4,646.625343840251,172
3849.4,5003849.4,647.049630308093,170
3849.4,5003849.4,647.47390615783866,167
3849.4,5003849.4,647.89817138387752,175
3849.4,5003849.4,648.32242598059941,178
3849.4,5003849.4,648.74666994239533,143
3849.4,5003849.4,649.17090326365542,149
3849.4,5003849.4,649.59512593877264,146
3849.4,5003849.4,650.0193379621378,153
3849.4,5003849.4,650.44353932814352,160
3849.4,5003849.4,650.86773003118276,142
3849.4,5003849.4,651.29191006564929,139
3849.4,5003849.4,651.71607942593732,139
3849.4,5003849.4,652.14023810644051,143
3849.4,5003849.4,652.564386101554,133
3849.4,5003849.4,652.98852340567316,139
3849.4,5003849.4,653.41265001319391,118
3849.4,5003849.4,653.83676591851292,148
3849.4,5003849.4,654.26087111602658,142
3849.4,5003849.4,654.68496560013261,145
3849.4,5003849.4,655.1090493652282,116
3849.4,5003849.4,655.53312240571267,116
3849.4,5003849.4,655.957184715984,124
3849.4,5003849.4,656.38123629044128,118
3849.4,5003849.4,656.80527712348521,115
3849.4,5003849.4,657.22930720951513,116
3849.4,5003849.4,657.65332654293229,105
3849.4,5003849.4,658.07733511813831,110
3849.4,5003849.4,658.50133292953387,108
3849.4,5003849.4,658.92531997152207,107
3849.4,5003849.4,659.34929623850508,111
3849.4,5003849.4,659.77326172488677,106
3849.4,5003849.4,660.19721642507022,107
3849.4,5003849.4,660.62116033346,87
3849.4,5003849.4,661.04509344446046,114
3849.4,5003849.4,661.46901575247716,101
3849.4,5003849.4,661.89292725191547,82
3849.4,5003849.4,662.31682793718164,88
3849.4,5003849.4,662.7407178026823,89
3849.4,5003849.4,663.164596842825,88
3849.4,5003849.4,663.58846505201666,81
3849.4,5003849.4,664.012322424666,100
3849.4,5003849.4,664.43616895518187,90
3849.4,5003849.4,664.86000463797268,82
3849.4,5003849.4,665.28382946744864,67
3849.4,5003849.4,665.70764343801943,89
3849.4,5003849.4,666.13144654409632,69
3849.4,5003849.4,666.55523878009,60
3849.4,5003849.4,666.97902014041176,69
3849.4,5003849.4,667.40279061947467,68
3849.4,5003849.4,667.82655021169023,68
3849.4,5003849.4,668.25029891147256,73
3849.4,5003849.4,668.6740367132345,61
3849.4,5003849.4,669.0977636113912,55
3849.4,5003849.4,669.52147960035609,71
3849.4,5003849.4,669.9451846745452,63
3849.4,5003849.4,670.36887882837391,61
3849.4,5003849.4,670.79256205625791,58
3849.4,5003849.4,671.21623435261438,66
3849.4,5003849.4,671.63989571186,41
3849.4,5003849.4,672.06354612841267,66
3849.4,5003849.4,672.48718559669112,62
3849.4,5003849.4,672.91081411111293,41
3849.4,5003849.4,673.33443166609754,60
3849.4,5003849.4,673.75803825606488,51
3849.4,5003849.4,674.18163387543518,67
3849.4,5003849.4,674.6052185186287,55
3849.4,5003849.4,675.02879218006683,60
3849.4,5003849.4,675.4523548541714,39
3849.4,5003849.4,675.87590653536449,58
3849.4,5003849.4,676.29944721806874,49
3849.4,5003849.4,676.72297689670688,40
3849.4,5003849.4,677.14649556570328,50
3849.4,5003849.4,677.570003219482,42
3849.4,5003849.4,677.99349985246761,61
3849.4,5003849.4,678.41698545908525,19
3849.4,5003849.4,678.84046003376125,37
3849.4,5003849.4,679.26392357092084,39
3849.4,5003849.4,679.68737606499133,37
3849.4,5003849.4,680.11081751040024,47
3849.4,5003849.4,680.53424790157487,36
3849.4,5003849.4,680.95766723294355,43
3849.4,5003849.4,681.3810754989355,30
3849.4,5003849.4,681.80447269397951,36
3849.4,5003849.4,682.2278588125057,27
3849.4,5003849.4,682.651233848944,54
3849.4,5003849.4,683.07459779772557,27
3849.4,5003849.4,683.497950653282,31
3849.4,5003849.4,683.92129241004466,55
3849.4,5003849.4,684.3446230624462,32
3849.4,5003849.4,684.76794260491954,24
3849.4,5003849.4,685.19125103189765,22
3849.4,5003849.4,685.61454833781511,28
3849.4,5003849.4,686.03783451710558,26
3849.4,5003849.4,686.46110956420443,20
3849.4,5003849.4,686.8843734735475,30
3849.4,5003849.4,687.30762623957014,19
3849.4,5003849.4,687.73086785670921,36
3849.4,5003849.4,688.15409831940167,25
3849.4,5003849.4,688.57731762208448,32
3849.4,5003849.4,689.00052575919653,6
3849.4,5003849.4,689.42372272517537,20
3849.4,5003849.4,689.84690851446169,22
3849.4,5003849.4,690.27008312149371,28
3849.4,5003849.4,690.69324654071158,38
3849.4,5003849.4,691.11639876655693,28
3849.4,5003849.4,691.53953979346988,29
3849.4,5003849.4,691.96266961589242,17
3849.4,5003849.4,692.385788228267,17
3849.4,5003849.4,692.80889562503637,19
3849.4,5003849.4,693.23199180064319,11
